rank,uid,username,type
1,66621878,靈音はなこ,提督
2,18736993,不关米米的事哟,提督
3,3546589241019107,米汀家的月饼晴朗,提督
4,26531557,安娜斯塔斯娅,提督
5,202329,若雪,提督
6,530596,IllIIllIlIlllIIl,提督
7,6580838,兰卡从小就是黑汀生,提督
8,6969680,周新宇,提督
9,18138827,vvannie,舰长
10,2021236,Black丶Caesar,舰长
11,3546623420402419,薰_薰_纸nya,舰长
12,499032978,Porco-www,舰长
13,3546588643330241,米汀家的刻刻帝,舰长
14,6606769,Akananae,舰长
15,6830657,-月见小亦-,舰长
16,21941693,佐布,舰长
17,81210807,一缕清风随风逝,舰长
18,12422769,Beartooth90,舰长
19,13475303,米汀的小笼包,舰长
20,3501990,-茶树米-,舰长
21,7180032,无为無為,舰长
22,628996143,オフライン,舰长
23,3072586,满怀香袖,舰长
24,122119323,魔兽小不点,舰长
25,241942616,ワルター,舰长
26,17558893,十文字-疾风,舰长
27,182148534,-梣桸-,舰长
28,10788384,soulのtouch,舰长
29,2971220,ユメうつつ,舰长
30,436127433,白灯的Noi米团,舰长
31,2234700,对称破缺喵,舰长
32,15845,春日花抄_,舰长
33,237845732,gigigigibeibei,舰长
34,11795901,40_514,舰长
35,13203122,小狮子的大猫,舰长
36,38028809,青草蛋糕-_-,舰长
37,3145632,奶茶泡澡の卡宾枪-,舰长
38,171791040,-エクシア-,舰长
39,1878939,破破破破破cd,舰长
40,1977481159,落烨了吗,舰长
41,882255,叫我丶呵呵,舰长
42,4484146,纪伯伦_睡眠不足,舰长
43,11283433,業風,舰长
44,11074373,auviuo,舰长
45,3493076572047792,主播大笨蛋,舰长
46,85590833,无理数mio,舰长
47,14153130,黄桃罐头冰,舰长
48,23073334,随喵のGRosmarinus,舰长
49,7037193,bluepudding,舰长
50,175265,雨宮夕歌,舰长
51,2097870821,白天LightSky,舰长
52,7719771,遊ぼうよ,舰长
53,137380440,无话可嗦OvO,舰长
54,71537139,゙黑貓,舰长
55,5667363,关心坐骨神经疼,舰长
56,482663558,淬羽xl,舰长
57,3546717528000672,Skullduggery,舰长
58,5933816,是蔡叔叔呀,舰长
59,12855633,高渠,舰长
60,5317908,Rayqua,舰长
61,20755725,夏卓风,舰长
62,20877518,河蟹君血型O,舰长
63,14860339,超高校級貓耳响,舰长
64,25593802,同调群单推人,舰长
65,3493112341072661,子江心,舰长
66,1698435,吕同学_リッキー,舰长
67,8378757,嘴香精灵北极熊,舰长
68,9442,冰海风雨,舰长
69,19304547,3ffgg,舰长
70,87618298,步信崇明,舰长
71,520806,真绯瑠的大薯,舰长
72,9127166,Kokoa9,舰长
73,681653,闪光罗伊,舰长
74,3494368814041805,傀诺equinox,舰长
75,7030171,丶时光机,舰长
76,3493120266209851,喵呜嗷呜叽里咕噜哒哒,舰长
77,16334440,zha77,舰长
78,556570,Shiro_Yaya,舰长
79,506331,幻与樱,舰长
80,7405415,夜の_,舰长
81,172805618,佛罗伦萨的海洋,舰长
82,494678,Pandatorパンダト,舰长
83,12532750,薛定谔の波斯猫,舰长
84,1477811,穗状星序,舰长
85,13301973,空调房里裹棉被,舰长
86,10093973,某_君,舰长
87,3546555298613258,折纸舟,舰长
88,12211712,鲁伯特之泪68,舰长
89,14719304,啤酒花不会相位转移,舰长
90,13135276,顾萌Komoe,舰长
91,13118657,dv341,舰长
92,351192397,20644862174_bili,舰长
93,41164797,佐仓seki,舰长
94,2024205879,Karionessss,舰长
95,1477096618,飞啰啰,舰长
96,475770372,逸雨sakana,舰长
97,354601895,-白茶清欢ぁ-,舰长
98,3537121268730123,Prescr1ption,舰长
99,1961645,名字真难取饿,舰长
100,14699616,重巡铃谷,舰长
101,5960988,逻辑语法与修辞,舰长
102,22786748,帕可家的Alienation,舰长
103,46787099,KASAN_12,舰长
104,3493293568559399,幽苑喵呜,舰长
105,925,911,舰长
106,9003458,纸浆不会歌唱,舰长
107,2714081,听风落羽,舰长
108,1979338810,LionPoii,舰长
109,1760794230,弥弥御用钢矛护理师,舰长
110,229087540,櫻花閃閃,舰长
111,7861204,PSI-CMD,舰长
112,2576190,黑天DarkSky,舰长
113,14068600,-宵夜要食粥-,舰长
114,1878858067,泡面TAT,舰长
115,103049147,__Merlin,舰长
116,1488162122,Dicaper,舰长
117,403372435,紫炎Yukari_En,舰长
118,3546603153524900,星河入梦一定是搞错了,舰长
119,157174,阿露菲米__,舰长
