rank,uid,username,type
1,351531386,invins-,提督
2,66621878,霊音はなこ,提督
3,13475303,米汀的小笼包,提督
4,3546589241019107,米汀家的月饼晴朗,提督
5,26531557,安娜斯塔斯婭,提督
6,10788384,soulのtouch,提督
7,530596,bili_530596,提督
8,2396905,闌珊凨雨,提督
9,6969680,周新宇,提督
10,360569,米汀家的夜阑梦雪,提督
11,1845506,卡恰__,提督
12,1979338810,LionPoii,提督
13,24816063,縶給闦蘉鸀鱍鑜繝礃,提督
14,38739372,_渚风,舰长
15,1272304314,露染zzz,舰长
16,628996143,おーchan,舰长
17,14153130,中专白字,舰长
18,7180032,无为無為,舰长
19,202329,若雪,舰长
20,81210807,一缕清风随风逝,舰长
21,25942909,鸦天狗狗文,舰长
22,499032978,Porco-www,舰长
23,87618298,步信崇明,舰长
24,13135276,顾萌Komoe,舰长
25,3546623420402419,薰_薰_纸nya,舰长
26,11283433,業風,舰长
27,6830657,-月见小亦--,舰长
28,1878939,破破破破破cd,舰长
29,375800639,灯光汪,舰长
30,85590833,无理数mio,舰长
31,494678,Pandator,舰长
32,366450460,自然立法者,舰长
33,11795901,鲁贝什卡,舰长
34,35520443,不二楠,舰长
35,25593802,同调群单推人,舰长
36,3546951375128782,米汀的报童帽,舰长
37,182148534,-梣桸-,舰长
38,349880406,夜夢YuMe_ちゃん,舰长
39,5960988,逻辑语法与修辞,舰长
40,5630092,米汀家的良生,舰长
41,71537139,゙黑貓,舰长
42,3501990,-小良与兔-,舰长
43,503,流河,舰长
44,17558893,十文字-疾风,舰长
45,5317908,Rayqua,舰长
46,1977481159,落烨了吗,舰长
47,882255,叫我丶呵呵,舰长
48,7405415,夜の_,舰长
49,229087540,櫻花閃閃,舰长
50,241942616,ワルター,舰长
51,3494368814041805,傀诺equinox,舰长
52,4345986,丢失的风儿,舰长
53,2971220,ユメうつつ,舰长
54,8969216,苏趴米帕,舰长
55,4897,宫古芳香,舰长
56,2097870821,白天LightSky,舰长
57,384739919,小奕ヤ,舰长
58,1698435,吕同学_リッキー,舰长
59,10093973,某_君,舰长
60,23073334,随喵甜菜根Ging鱼Rou,舰长
61,137380440,无话可嗦OvO,舰长
62,2871839,淡定の立华奏,舰长
63,556570,Shiro_Yaya,舰长
64,27096548,渝の七秒记忆,舰长
65,3493120266209851,喵嗚嘎嗚嘰哩咕嚕噠噠,舰长
66,506331,幻与樱,舰长
67,502408537,言念其宸,舰长
68,288769051,不存在于诞下我的世界,舰长
69,266375,咕咕-咕咕咕咕咕-咕,舰长
70,9127166,Kokoa9,舰长
71,159019,九重雪会,舰长
72,7037193,bluepudding,舰长
73,453196,-kenjoy-,舰长
74,925,911,舰长
75,12532750,薛定谔の波斯猫,舰长
76,13071607,风见见见子,舰长
77,224656237,童话避难所,舰长
78,14860339,超高校級貓耳响,舰长
79,26284784,晨曦在海上,舰长
80,1477811,穗状星序,舰长
81,10261329,yukino-雪之下雪乃,舰长
82,6771127,英桑ww,舰长
83,35610072,寒星Coldstar_QAQ,舰长
84,3546642393335905,蟹师傅MasterCrab,舰长
85,351192397,20644862174_bili,舰长
86,14378626,昼星轨,舰长
87,259348,CHR_OFFICIAL,舰长
88,287809472,艦こわのcollection,舰长
89,107200480,星空下的永恒誓言,舰长
90,102615,疯子orz,舰长
91,9161100,鸟是一个词,舰长
92,210653,晴色,舰长
93,31285711,最后的贺卡,舰长
94,8931117,三色青羽,舰长
95,500278643,Badj0ey,舰长
96,91214489,幻梦景,舰长
97,12211712,鲁伯特之泪68,舰长
98,2251909,王一川卅,舰长
99,536365,鸢尾百合,舰长
100,1565147,orion_0v0,舰长
101,35381776,一条忧郁的区,舰长
102,11554146,伴舞者纠结,舰长
103,379350642,凋零的诺城狼印,舰长
104,59955258,这个昵称已经有鬼用过了,舰长
105,2890750,muegleis,舰长
106,105402,清新正直HHP,舰长
107,417933,不羁的弗瑞登Freedom,舰长
108,3210821,夏临夏,舰长
109,35901629,seaShide,舰长
110,7994124,大颗米波,舰长
111,14140611,青溪不复江南笛,舰长
112,168221583,嗜睡黑猫9,舰长
113,3835876,east_EDEN,舰长
114,3546761429781280,Saner___,舰长
115,7257467,PlutoniumLink,舰长
116,6595716,九重阳炎,舰长
117,290515671,是命定之死的盒子呀,舰长
118,332872469,若在明日眠,舰长
119,85213240,阴暗小电视,舰长
120,446761374,北冥无鱼也无鲲,舰长
121,8038547,华胥の梦,舰长
122,1333226786,淬鱼Lemon,舰长
123,16055782,黑糖Humi,舰长
124,36912056,小鼠私厨炒饭,舰长
125,157174,阿露菲米__,舰长
126,132270,柒の白白,舰长
127,435972111,29耳啾,舰长
128,88984,重音teto,舰长
129,428258195,开香槟好耶,舰长
130,66903277,汐流流流,舰长
131,108058880,MiaMori喵森,舰长
132,545382,水銀貓,舰长
133,263154,Rifuto1543,舰长
134,2104839060,安息阑尾炎,舰长
135,447872632,WhiteCube_,舰长
136,209559923,回归性原理_,舰长
137,132679308,生如鲜花死如枯叶,舰长
138,242684436,时间线里的時間點-,舰长
139,187615581,-skyeeeeee-,舰长
140,213935734,安里博睿,舰长
141,1720160,卡里尔OvO,舰长
142,2129058013,哒哒舞步,舰长
143,328072108,红鹰坠落,舰长
144,3546983578994744,KOU_KEI,舰长
145,8314982,希望を歌に,舰长
146,12648481,强悍蜜蜂,舰长
147,100938127,ユユ鱼油,舰长
148,269765775,额嚼益达,舰长
149,205168793,芙兰朵露的莱瓦汀,舰长
150,2545342,万能青年俊凯凯,舰长
151,276845073,G36_Ch13f_M41d,舰长
152,1293440,Nino的杂味炖肉,舰长
153,166240699,_幻音sama_,舰长
154,1970021339,北辰Ghost,舰长
155,6881569,西部好人侠,舰长
156,2892952,希瓦黑喵,舰长
157,1414854851,__巴巴拉拉__,舰长
158,702437569,未名微冥,舰长
159,37888958,夜听雨0628,舰长
160,3537108167821424,非扩散型病毒,舰长
161,524725215,八知道取啥,舰长
162,3706971731528210,ketsuch3n,舰长
163,404216710,莎士比兜,舰长
164,72985325,灰色魔女-初银子,舰长
165,16005209,yyyc__,舰长
