rank,uid,username,type
1,499032978,Porco-www,提督
2,530596,IllIIllIlIlllIIl,提督
3,1690861,莉泽萝忒KreuzLampe,提督
4,3546589241019107,月饼晴朗OvO,提督
5,7071896,Modred_X,提督
6,5795051,工具人leyo,提督
7,19483208,Eternalの零,提督
8,6200106,-单防伊瑟拉-,提督
9,122119323,魔兽小不点,提督
10,29147008,摸摸摸_Mona,舰长
11,171791040,-エクシア-,舰长
12,681496,沙粒之辰光,舰长
13,241942616,ワルター,舰长
14,26531557,安娜斯塔斯娅,舰长
15,6830657,-月见小亦-,舰长
16,12422769,Beartooth90,舰长
17,2021236,Black丶Caesar,舰长
18,6606769,Akananae,舰长
19,3501990,-茶树米-,舰长
20,4117787,小呜的spe老婆,舰长
21,3546588643330241,米汀家的刻刻帝,舰长
22,628996143,冥王星网友不在线,舰长
23,1857231500,hd3810,舰长
24,5335166,耶和离,舰长
25,71537139,黑貓丿,舰长
26,269434823,海星松鼠非常好吃,舰长
27,4048022,九链嗷非秀,舰长
28,13475303,菜狗子zzz,舰长
29,237845732,gigigigibeibei,舰长
30,3546588328757848,--sakula--,舰长
31,3493112341072661,子江心,舰长
32,6580838,兰卡什么都不知道,舰长
33,66621878,靈音はなこ,舰长
34,1387677,桃酥Momo单推人,舰长
35,3493076572047792,主播大笨蛋,舰长
36,14719304,啤酒花想喝生啤酒,舰长
37,13022542,白银夜夜yaya,舰长
38,13203122,小狮子的大猫,舰长
39,70573348,圆润的小肉肉,舰长
40,27727,壊れた幻想,舰长
41,38025985,-filia-,舰长
42,202329,若雪,舰长
43,33673954,serika-onoe_,舰长
44,269508093,夏夜夜酌,舰长
45,436127433,夜灯和米汀Nagisa贴贴,舰长
46,81210807,一缕清风随风逝,舰长
47,671177448,侑利普贝当,舰长
48,11116521,伟大的厂长,舰长
49,359172675,我爱米汀Nagisa,舰长
50,8011747,笹木咲单推人,舰长
51,372661,宍戸若葉,舰长
52,4578292,出包西欧粒,舰长
53,3494351019707331,麺包パン,舰长
54,20755725,夏卓风,舰长
55,520806,真绯瑠的大薯,舰长
56,108010,Kickshaw,舰长
57,32690617,古道西风瘦3B,舰长
58,2024205879,米汀家的kario,舰长
59,35128441,月蝕尽絶黒阿修羅,舰长
60,1845506,抱着大头的卡恰,舰长
61,11167,平安夜的噩梦,舰长
62,35418184,羽山麻水,舰长
63,434915,星月凛,舰长
64,5878738,魔法少女厄加特o,舰长
65,33178046,FizzzzQAQ,舰长
66,545831752,鼠鼠我的鼠鼠啊,舰长
67,17558893,十文字-疾风,舰长
68,487741335,时雨遥425342,舰长
69,11283433,業風,舰长
70,8205473,-墨绾泠晴_RinaGachi-,舰长
71,678806781,墨笔白图,舰长
72,146637883,出逃星星抱枕,舰长
73,1461149,Aleryaa,舰长
74,50736903,青空嵐,舰长
75,3546558282861538,纯良小公主,舰长
76,351256995,本命来福,舰长
77,251054796,ねばり_ねありー,舰长
78,12009950,地表最强VR信,舰长
79,1977641291,岁己家的クレー,舰长
80,15152020,-ぺるしあ-,舰长
81,8378757,嘴香精灵北极熊,舰长
82,7037193,bluepudding,舰长
83,352931167,ウエハロール,舰长
84,347702586,shiina_tsumugi,舰长
85,2714081,听风落羽,舰长
86,253468031,剁椒鲨鱼头_,舰长
87,2515154,Mukai_霧海颯,舰长
88,22642353,夜雪想喝芝士抹茶,舰长
