rank,uid,username,type
1,499032978,Porco-www,提督
2,628323,玲_奈,提督
3,2021236,Black丶Caesar,提督
4,530596,IllIIllIlIlllIIl,提督
5,681496,沙粒之辰光,提督
6,27727,壊れた幻想,提督
7,3546589241019107,米汀家的月饼晴朗,提督
8,33673954,serika-onoe_,提督
9,26531557,安娜斯塔斯娅,提督
10,3501990,-茶树米-,提督
11,6580838,兰卡从小就是黑汀生,提督
12,6830657,-月见小亦-,提督
13,13475303,米汀的小笼包,提督
14,21941693,佐布,提督
15,17558893,十文字-疾风,提督
16,1319096,下雨送茶,提督
17,12501775,コンプランド,提督
18,122119323,魔兽小不点,舰长
19,18138827,vvannie,舰长
20,241942616,ワルター,舰长
21,1690861,莉泽萝忒KreuzLampe,舰长
22,12422769,Beartooth90,舰长
23,171791040,-エクシア-,舰长
24,5795051,工具人leyo,舰长
25,7071896,Modred_X,舰长
26,19483208,Eternalの零,舰长
27,3494351019707331,麺包パン,舰长
28,81210807,一缕清风随风逝,舰长
29,6606769,Akananae,舰长
30,237845732,gigigigibeibei,舰长
31,628996143,冥王星网友不在线,舰长
32,202329,若雪,舰长
33,66621878,靈音はなこ,舰长
34,29147008,摸摸摸_Mona,舰长
35,3072586,满杯香柚,舰长
36,3546588643330241,米汀家的刻刻帝,舰长
37,4117787,小呜的spe老婆,舰长
38,269508093,夏夜夜酌,舰长
39,11283433,業風,舰长
40,13203122,小狮子的大猫,舰长
41,4484146,纪伯伦_睡眠不足,舰长
42,3546588328757848,--sakula--,舰长
43,71537139,黑貓丿,舰长
44,3145632,奶茶泡澡の卡宾枪-,舰长
45,53491674,米米症晚期,舰长
46,7719771,遊ぼうよ,舰长
47,227618,Vaserkia,舰长
48,9442,冰海风雨,舰长
49,38028809,青草蛋糕-_-,舰长
50,436127433,米汀Nagisa家门外的夜灯,舰长
51,359172675,章丘特产供销商,舰长
52,372661,宍戸若葉,舰长
53,3493112341072661,子江心,舰长
54,8378757,嘴香精灵北极熊,舰长
55,15845,春日花抄_,舰长
56,29299015,黯影シャドウ,舰长
57,408293786,朱顔辞鏡花辞澍,舰长
58,28588187,夏色正道,舰长
59,5335166,耶和离,舰长
60,1748177,TicALhVfCrdModZr,舰长
61,3493076572047792,主播大笨蛋,舰长
62,487741335,时雨遥425342,舰长
63,146637883,出逃星星抱枕,舰长
64,2234700,对称破缺喵,舰长
65,269434823,海星松鼠非常好吃,舰长
66,5317908,Rayqua,舰长
67,100924004,穿裤衩的小萝卜,舰长
68,5878738,魔法少女厄加特o,舰长
69,5933816,是蔡叔叔呀,舰长
70,7037193,bluepudding,舰长
71,4578292,出包西欧粒,舰长
72,2097870821,白天LightSky,舰长
73,20755725,夏卓风,舰长
74,882255,叫我丶呵呵,舰长
75,434915,星月凛,舰长
76,5322494,小龙龙笼包,舰长
77,681653,闪光罗伊,舰长
78,1437606,元妙归尘,舰长
79,696713,Rikkuo_,舰长
80,14719304,违规昵称_0be,舰长
81,678806781,墨笔白图,舰长
82,520806,真绯瑠的大薯,舰长
83,429731,gofei,舰长
84,168221583,还是叫我大瑞吧,舰长
85,11188246,とある可愛の伊莎贝拉,舰长
86,182148534,-梣桸-,舰长
87,2024205879,米汀家的kario,舰长
88,12276598,_雨晴__,舰长
89,25593802,同调群单推人,舰长
90,1977481159,落烨了吗,舰长
91,253468031,剁椒鲨鱼头_,舰长
92,16334440,zha77,舰长
93,3546599416400471,气泡-战兔,舰长
94,1698435,吕同学リッキー,舰长
95,242072164,危在旦夕c,舰长
96,2714081,游城诗乃,舰长
97,22642353,夜雪想喝芝士抹茶,舰长
98,1878939,破破破破破cd,舰长
99,627609210,种菜の小拉包,舰长
100,309523,MrbigJ,舰长
101,1822051067,小莓朵朵,舰长
102,17433882,流星追月233,舰长
103,556570,Shiro_Yaya,舰长
104,14860339,超高校級貓耳响,舰长
105,399431,mio-j,舰长
106,118320708,童话镇镇镇之宝,舰长
107,172805618,佛罗伦萨的海洋,舰长
108,2516833,moonevil,舰长
109,160898966,古见春,舰长
110,12532750,薛定谔の波斯猫,舰长
111,6251296,栗帽,舰长
112,421267475,艾因Eine,舰长
113,2599251,Devi_Lito,舰长
114,2321336,Code_Time,舰长
115,7405415,夜の_,舰长
116,9231932,阿不思夜的落星,舰长
117,5723075,陈玉礼,舰长
118,53699221,K1llerNEko-,舰长
119,484970836,超大杯芒果汁,舰长
120,40382838,地球今天仍在迷路,舰长
121,399316398,百骑士皇蕾嘉蒂娅,舰长
122,391728488,孤股骨姑顾古鼓谷雇鸪,舰长
123,38636696,Hiyori晓,舰长
124,383084364,Leibn1z_,舰长
125,35676933,星叶Iris,舰长
126,30827408,枳酒清欢度,舰长
127,306131410,半步Nirvana,舰长
128,290407,川内野优美,舰长
129,280766,MizQre,舰长
130,2244620,明斯克的蔷薇,舰长
131,20751559,是臻臻啊-,舰长
132,1935130,雨のメロディー,舰长
133,175265,雨宮夕歌,舰长
134,1447024848,饮料解构人生认知,舰长
135,1392897,小小de悲剧,舰长
136,13301973,空调房里裹棉被,舰长
137,13022542,白银夜夜yaya,舰长
138,102717608,cmcnmua,舰长
139,10093973,某_君,舰长
140,640807604,庄子如何击退杠精,舰长
141,45649674,Leon希希,舰长
142,248505849,布鲁诺一直吃药,舰长
143,11074373,auviuo,舰长
144,85590833,竹蜻蜓mio,舰长
145,1318540,喀什洋,舰长
146,8969216,未雨夜蝶义务推广员,舰长
147,7180032,无为無為,舰长
148,8491553,御坂声声,舰长
149,5630092,一般路过小良,舰长
150,482663558,淬羽xl,舰长
151,179175618,五棱马,舰长
152,506331,幻与樱,舰长
153,470934410,寂冷talker,舰长
154,3546602367092805,出出2012,舰长
155,269774,玄米律浉,舰长
156,19304547,3ffgg,舰长
157,11795901,Heibtrocknung,舰长
158,87618298,步信崇明,舰长
159,497061,大豆芽五,舰长
160,23274552,shulker_cn,舰长
161,10478200,时逝丶云烟散,舰长
162,60678525,双语之城_,舰长
163,364733884,言秦Hades,舰长
164,2800839,Nchyan,舰长
165,44023244,忆泠音,舰长
166,360569,夜阑梦雪,舰长
167,352931167,ウエハロール,舰长
168,224702731,包子也是楞er,舰长
169,2145711117,Linear_mi,舰长
170,17208431,KyonoNatsumi,舰长
171,11838968,疯狂科学家凤凰院凶真,舰长
172,137380440,无话可嗦OvO,舰长
173,2971220,ユメうつつ,舰长
174,18736993,不关米米的事哟,舰长
175,12403805,_Yula_,舰长
176,57249810,桐人今天岁大觉,舰长
177,348007175,LLLLLee__,舰长
178,184350827,嗡嗡嗡小鱼,舰长
179,20877518,河蟹君血型O,舰长
180,12058821,亀騎士07,舰长
181,402107060,羽墨Rain,舰长
182,381226,小月白OvO,舰长
183,22882554,玄玦LostEgo,舰长
184,107763062,丛雨从雨丛,舰长
185,19736560,别狗叫丶,舰长
186,60688595,醋饭,舰长
187,2075963,Tong爺_Official,舰长
188,14868174,real988,舰长
189,9127166,Kokoa9,舰长
190,1721107,林安_ya,舰长
191,17029823,ero_engine,舰长
192,1490876725,Icewine__,舰长
193,11265932,小奶猫丶喵,舰长
194,9849637,西宮ひろ,舰长
195,70834304,松果林,舰长
196,9003458,米神singsforever,舰长
197,9847918,丶言心,舰长
198,8942104,白斑星k,舰长
199,8833447,電気療法,舰长
200,87697666,丶myz,舰长
201,862081,时空潜行序列,舰长
202,8386263,DD跑卡车,舰长
203,820,天元之羽,舰长
204,7123335,没错我就是啪,舰长
205,70357631,明天改个名吧,舰长
206,6025082,ilib的存在,舰长
207,53081730,莞zzz,舰长
208,483577008,奋笔疾书呆呆兽,舰长
209,4687502,笙omo,舰长
210,44867471,月咏枫二号机,舰长
211,393885,loneyuki,舰长
212,38979955,V_ineyes,舰长
213,36103053,䋞友小c,舰长
214,3546602375482057,澄枫_,舰长
215,350062222,湛蓝夜辉,舰长
216,3493268599868027,米汀从小就很可爱_,舰长
217,3353747,Galatanie,舰长
