rank,uid,username,type
1,351531386,invins-,总督
2,66621878,霊音はなこ,提督
3,13475303,米汀的小笼包,提督
4,3546589241019107,米汀家的月饼晴朗,提督
5,26531557,安娜斯塔斯婭,提督
6,10788384,soulのtouch,提督
7,530596,bili_530596,提督
8,2396905,闌珊凨雨,提督
9,6969680,周新宇,提督
10,360569,米汀家的夜阑梦雪,提督
11,1845506,卡恰__,提督
12,1979338810,LionPoii,提督
13,2961097,Saserian,提督
14,25942909,鸦天狗狗文,提督
15,24816063,縶給闦蘉鸀鱍鑜繝礃,提督
16,171791040,-エクシア-,提督
17,38739372,_渚风,舰长
18,1272304314,露染zzz,舰长
19,628996143,おーchan,舰长
20,14153130,黄桃罐头冰,舰长
21,7180032,无为無為,舰长
22,202329,若雪,舰长
23,81210807,一缕清风随风逝,舰长
24,499032978,Porco-www,舰长
25,87618298,步信崇明,舰长
26,13135276,顾萌Komoe,舰长
27,3546623420402419,薰_薰_纸nya,舰长
28,11283433,業風,舰长
29,375800639,灯光汪,舰长
30,6830657,-月见小亦--,舰长
31,1878939,破破破破破cd,舰长
32,85590833,无理数mio,舰长
33,494678,Pandator,舰长
34,366450460,自然立法者,舰长
35,11795901,鲁贝什卡,舰长
36,35520443,不二楠,舰长
37,349880406,夜夢YuMe_ちゃん,舰长
38,25593802,同调群单推人,舰长
39,3546951375128782,米汀的报童帽,舰长
40,182148534,-梣桸-,舰长
41,5960988,逻辑语法与修辞,舰长
42,5630092,米汀家的良生,舰长
43,71537139,゙黑貓,舰长
44,503,流河,舰长
45,17558893,十文字-疾风,舰长
46,5317908,Rayqua,舰长
47,1977481159,落烨了吗,舰长
48,882255,叫我丶呵呵,舰长
49,7405415,夜の_,舰长
50,229087540,櫻花閃閃,舰长
51,4345986,丢失的风儿,舰长
52,241942616,ワルター,舰长
53,3494368814041805,傀诺equinox,舰长
54,2971220,ユメうつつ,舰长
55,2234700,对称破缺喵,舰长
56,8969216,苏趴米帕,舰长
57,10093973,某_君,舰长
58,4897,宫古芳香,舰长
59,2097870821,白天LightSky,舰长
60,384739919,小奕ヤ,舰长
61,1698435,吕同学_リッキー,舰长
62,23073334,随喵清蒸G鱼随煮Rou片,舰长
63,2871839,淡定の立华奏,舰长
64,137380440,无话可嗦OvO,舰长
65,556570,Shiro_Yaya,舰长
66,27096548,叶子の海,舰长
67,3493120266209851,喵嗚嘎嗚嘰哩咕嚕噠噠,舰长
68,237845732,gigigigibeibei,舰长
69,288769051,不存在于诞下我的世界,舰长
70,502408537,言念其宸,舰长
71,506331,幻与樱,舰长
72,159019,九重雪会,舰长
73,7037193,bluepudding,舰长
74,266375,咕咕-咕咕咕咕咕-咕,舰长
75,925,911,舰长
76,12532750,薛定谔の波斯猫,舰长
77,453196,-kenjoy-,舰长
78,224656237,童话避难所,舰长
79,1488162122,aleksib家的米垃圾,舰长
80,13071607,风见见见子,舰长
81,14860339,超高校級貓耳响,舰长
82,35610072,寒星Coldstar_QAQ,舰长
83,26284784,晨曦在海上,舰长
84,1477811,穗状星序,舰长
85,10261329,yukino-雪之下雪乃,舰长
86,14378626,昼星轨,舰长
87,6771127,英桑ww,舰长
88,351192397,20644862174_bili,舰长
89,287809472,艦こわのcollection,舰长
90,3546642393335905,蟹师傅MasterCrab,舰长
91,259348,CHR_OFFICIAL,舰长
92,59955258,这个昵称已经有鬼用过了,舰长
93,107200480,星空下的永恒誓言,舰长
94,210653,晴色,舰长
95,102615,疯子orz,舰长
96,31285711,最后的贺卡,舰长
97,9161100,鸟是一个词,舰长
98,8931117,三色青羽,舰长
99,500278643,Badj0ey,舰长
100,12211712,鲁伯特之泪68,舰长
101,642499149,-烤毛怪-,舰长
102,2251909,王一川卅,舰长
103,91214489,幻梦景,舰长
104,2890750,muegleis,舰长
105,1565147,orion_0v0,舰长
106,536365,鸢尾百合,舰长
107,11554146,伴舞者纠结,舰长
108,35381776,一条忧郁的区,舰长
109,14140611,青溪不复江南笛,舰长
110,516931671,ねこつかヒビキ,舰长
111,105402,清新正直HHP,舰长
112,379350642,凋零的诺城狼印,舰长
113,332872469,若在明日眠,舰长
114,35901629,seaShide,舰长
115,417933,不羁的弗瑞登Freedom,舰长
116,1333226786,淬鱼Lemon,舰长
117,7994124,大颗米波,舰长
118,3210821,夏临夏,舰长
119,168221583,嗜睡黑猫9,舰长
120,3546761429781280,Saner___,舰长
121,3546570272278940,悲伤的风子,舰长
122,290515671,是命定之死的盒子呀,舰长
123,85213240,阴暗小电视,舰长
124,16055782,黑糖Humi,舰长
125,6595716,九重阳炎,舰长
126,282198,高雅艺术中心,舰长
127,446761374,北冥无鱼也无鲲,舰长
128,8038547,华胥の梦,舰长
129,157174,阿露菲米__,舰长
130,3546983578994744,KOU_KEI,舰长
131,88984,重音teto,舰长
132,428258195,开香槟好耶,舰长
133,12769903,漓梦い清玥,舰长
134,565632,YomaKKK,舰长
135,108058880,MiaMori喵森,舰长
136,2104839060,帝企鹅饼干,舰长
137,545382,水銀貓,舰长
138,209559923,回归性原理_,舰长
139,447872632,WhiteCube_,舰长
140,132679308,生如鲜花死如枯叶,舰长
141,1740704,NFの皮卡,舰长
142,8314982,希望を歌に,舰长
143,309425785,虚构喵,舰长
144,187615581,-skyeeeeee-,舰长
145,205168793,芙兰朵露的莱瓦汀,舰长
146,213935734,安里博睿,舰长
147,2129058013,哒哒舞步,舰长
148,6701862,末日警探Luv_sic,舰长
149,12648481,强悍蜜蜂,舰长
150,2545342,万能青年俊凯凯,舰长
151,100938127,ユユ鱼油,舰长
152,386481337,壊レ夕世界,舰长
153,1970021339,北辰Ghost,舰长
154,6881569,西部好人侠,舰长
155,276845073,G36_Ch13f_M41d,舰长
156,702437569,未名微冥,舰长
157,1293440,Nino的杂味炖肉,舰长
158,166240699,_幻音sama_,舰长
159,259162605,Arichi_,舰长
160,404216710,莎士比兜,舰长
161,72985325,灰色魔女-初银子,舰长
162,1414854851,__巴巴拉拉__,舰长
163,2892952,希瓦黑喵,舰长
164,645831744,莉譜,舰长
