rank,uid,username,type
1,66621878,霊音はなこ,提督
2,13475303,米汀的小笼包,提督
3,3546589241019107,米汀家的月饼晴朗,提督
4,26531557,安娜斯塔斯婭,提督
5,10788384,soulのtouch,提督
6,38739372,_渚风,提督
7,530596,bili_530596,提督
8,1272304314,露染zzz,提督
9,351531386,invins-,提督
10,628996143,オフライン,提督
11,6969680,周新宇,提督
12,2396905,闌珊凨雨,提督
13,1845506,卡恰__,提督
14,1979338810,LionPoii,提督
15,25942909,鸦天狗狗文,提督
16,360569,米汀家的夜阑梦雪,提督
17,4563491,代步车01,舰长
18,202329,若雪,舰长
19,7180032,无为無為,舰长
20,14153130,情緒依存,舰长
21,6606769,Akananae,舰长
22,81210807,一缕清风随风逝,舰长
23,3546623420402419,薰_薰_纸nya,舰长
24,499032978,Porco-www,舰长
25,6580838,兰卡兰卡兰兰的卡,舰长
26,87618298,步信崇明,舰长
27,13135276,顾萌Komoe,舰长
28,6830657,-月见小亦-,舰长
29,494678,Pandator,舰长
30,366450460,自然立法者,舰长
31,11283433,業風,舰长
32,182148534,-梣桸-,舰长
33,11795901,攀兔毛者,舰长
34,85590833,无理数mio,舰长
35,1878939,破破破破破cd,舰长
36,25593802,同调群单推人,舰长
37,17558893,十文字-疾风,舰长
38,71537139,゙黑貓,舰长
39,5630092,米汀家的良生,舰长
40,1977481159,落烨了吗,舰长
41,5667363,关心坐骨神经疼,舰长
42,35520443,不二楠,舰长
43,5317908,Rayqua,舰长
44,5960988,精准表达与好好接话,舰长
45,241942616,ワルター,舰长
46,7405415,夜の_,舰长
47,3494368814041805,傀诺equinox,舰长
48,2971220,ユメうつつ,舰长
49,882255,叫我丶呵呵,舰长
50,229087540,櫻花閃閃,舰长
51,3493084472019038,薄荷糖8辣,舰长
52,2097870821,白天LightSky,舰长
53,8969216,苏趴米帕,舰长
54,1698435,吕同学_リッキー,舰长
55,137380440,无话可嗦OvO,舰长
56,3493120266209851,喵嗚嘎嗚嘰哩咕嚕噠噠,舰长
57,4345986,丢失的风儿,舰长
58,556570,Shiro_Yaya,舰长
59,4897,宫古芳香,舰长
60,5933816,是蔡叔叔呀,舰长
61,503,流河,舰长
62,2871839,淡定の立华奏,舰长
63,9127166,Kokoa9,舰长
64,506331,幻与樱,舰长
65,7037193,bluepudding,舰长
66,925,911,舰长
67,349880406,夜夢YuMe_ちゃん,舰长
68,14860339,超高校級貓耳响,舰长
69,1961645,名字真难取饿,舰长
70,12532750,薛定谔の波斯猫,舰长
71,266375,咕咕-咕咕咕咕咕-咕,舰长
72,1477811,穗状星序,舰长
73,159019,九重雪会,舰长
74,453196,-kenjoy-,舰长
75,375800639,灯光汪,舰长
76,35610072,寒星Coldstar_QAQ,舰长
77,287809472,艦こわのcollection,舰长
78,10093973,某_君,舰长
79,102615,疯子orz,舰长
80,384739919,小奕ヤ,舰长
81,26284784,晨曦在海上,舰长
82,224656237,童话避难所,舰长
83,351192397,20644862174_bili,舰长
84,11790018,吃一口奶团,舰长
85,12211712,鲁伯特之泪68,舰长
86,288769051,不存在于诞下我的世界,舰长
87,10261329,yukino-雪之下雪乃,舰长
88,13071607,风见见见子,舰长
89,210653,晴色,舰长
90,642499149,-烤毛怪-,舰长
91,12700680,Lappland--,舰长
92,536365,鸢尾百合,舰长
93,107200480,星空下的永恒誓言,舰长
94,3493112341072661,子江心,舰长
95,9161100,鸟是一个词,舰长
96,1760794230,弥弥御用钢矛护理师,舰长
97,513587729,Rainあめ,舰长
98,8931117,三色青羽,舰长
99,14378626,昼星轨,舰长
100,24816063,-縶給闦蘉鸀鱍鞝繝礃-,舰长
101,6771127,英桑ww,舰长
102,11554146,伴舞者纠结,舰长
103,1565147,orion_0v0,舰长
104,3546570272278940,悲伤的风子,舰长
105,31285711,最后的贺卡,舰长
106,179471776,AhanAnan4n,舰长
107,26536763,めちゃくちゃ炒飯,舰长
108,165723722,风烟寥,舰长
109,3311160,Ferula--,舰长
110,9426479,僧侶ケルベロス,舰长
111,105402,清新正直HHP,舰长
112,1873153589,淩汀,舰长
113,91214489,幻梦景,舰长
114,3546761429781280,Saner___,舰长
115,7257467,PlutoniumLink,舰长
116,6595716,九重阳炎,舰长
117,168221583,嗜睡黑猫9,舰长
118,85213240,阴暗小电视,舰长
119,3546602375482057,颜枫_,舰长
120,191789,アマイアヤ,舰长
121,280146238,超音速全向射流,舰长
122,1902528,卡特斯瓦特,舰长
123,502408537,言念其宸,舰长
124,31271170,一般路过v友,舰长
125,8722647,独家叉烧锅包肉可外送,舰长
126,3546973235841820,雾涟trois,舰长
127,212285,CTofthereiGN,舰长
128,349198785,刻刻帝路过,舰长
129,9354845,KinguKurimuzon,舰长
130,1280858792,夜雨空鸣,舰长
131,1268819,龙茶茶_,舰长
132,68400312,小小冰fight,舰长
133,88984,重音teto,舰长
134,7994124,大颗米波,舰长
135,635930299,月伶枫晓,舰长
136,545382,水銀貓,舰长
137,1508440,奶龙MilkD,舰长
138,3512397,Yamato丶Yamada,舰长
139,269109657,次の舞台へ,舰长
140,290515671,是命定之死的盒子呀,舰长
141,522195557,羽落白山茶,舰长
142,33156347,榷良,舰长
143,28272707,苦橙恶猫,舰长
144,324302,合金乌贼,舰长
145,639638031,白朝琛Zumoki,舰长
146,3210821,夏临夏,舰长
147,446761374,北冥无鱼也无鲲,舰长
148,379350642,凋零的诺城狼印,舰长
149,259348,CHR_OFFICIAL,舰长
150,524926595,牛头人爱好者,舰长
151,2503968,小姜饼不加糖,舰长
152,3632310503082196,O肯O肯,舰长
