rank,uid,username,type
1,66621878,霊音はなこ,提督
2,3546589241019107,米汀家的月饼晴朗,提督
3,26531557,-アナスタシア-,提督
4,38739372,_渚风,提督
5,10788384,soulのtouch,提督
6,530596,bili_530596,提督
7,13475303,米汀的小笼包,提督
8,1272304314,露染zzz,提督
9,6969680,周新宇,提督
10,351531386,invins-,提督
11,1845506,卡恰__,提督
12,1979338810,LionPoii,提督
13,202329,若雪,舰长
14,7180032,无为無為,舰长
15,628996143,オフライン,舰长
16,6606769,Akananae,舰长
17,81210807,一缕清风随风逝,舰长
18,3546623420402419,薰_薰_纸nya,舰长
19,499032978,Porco-www,舰长
20,14153130,黄桃罐头冰,舰长
21,6580838,兰卡从小就是黑汀生,舰长
22,13135276,顾萌Komoe,舰长
23,6830657,-月见小亦-,舰长
24,494678,Pandator,舰长
25,182148534,-梣桸-,舰长
26,366450460,自然立法者,舰长
27,11283433,業風,舰长
28,25942909,鸦天狗狗文,舰长
29,87618298,步信崇明,舰长
30,11795901,攀兔毛者,舰长
31,85590833,无理数mio,舰长
32,3501990,-小良与兔-,舰长
33,1878939,破破破破破cd,舰长
34,17558893,十文字-疾风,舰长
35,25593802,同调群单推人,舰长
36,71537139,゙黑貓,舰长
37,1977481159,落烨了吗,舰长
38,5317908,Rayqua,舰长
39,5667363,关心坐骨神经疼,舰长
40,5630092,奈落良生,舰长
41,35520443,不二楠,舰长
42,241942616,ワルター,舰长
43,882255,叫我丶呵呵,舰长
44,7405415,夜の_,舰长
45,3494368814041805,傀诺equinox,舰长
46,2971220,ユメうつつ,舰长
47,21260332,nfixheitingssa,舰长
48,5960988,下位替代与自知之明,舰长
49,3493084472019038,薄荷糖8辣,舰长
50,2396905,闌珊凨雨,舰长
51,229087540,櫻花閃閃,舰长
52,2097870821,白天LightSky,舰长
53,20877518,河蟹君血型O,舰长
54,8969216,苏趴米帕,舰长
55,1698435,吕同学_リッキー,舰长
56,360569,夜阑梦雪,舰长
57,137380440,无话可嗦OvO,舰长
58,556570,Shiro_Yaya,舰长
59,9127166,Kokoa9,舰长
60,7037193,bluepudding,舰长
61,4897,宫古芳香,舰长
62,14860339,超高校級貓耳响,舰长
63,12532750,薛定谔の波斯猫,舰长
64,506331,幻与樱,舰长
65,4345986,丢失的风儿,舰长
66,2871839,淡定の立华奏,舰长
67,4484146,纪伯伦_睡眠不足,舰长
68,1961645,名字真难取饿,舰长
69,266375,咕咕-咕咕咕咕咕-咕,舰长
70,925,911,舰长
71,1477811,穗状星序,舰长
72,102615,疯子orz,舰长
73,10093973,某_君,舰长
74,3493120266209851,喵嗚嘎嗚嘰哩咕嚕噠噠,舰长
75,351192397,20644862174_bili,舰长
76,159019,九重雪会,舰长
77,287809472,艦こわのcollection,舰长
78,224656237,童话避难所,舰长
79,13301973,空调房里裹棉被,舰长
80,12211712,鲁伯特之泪68,舰长
81,453196,-kenjoy-,舰长
82,11790018,吃一口奶团,舰长
83,349880406,夜夢YuMe_ちゃん,舰长
84,210653,晴色,舰长
85,35610072,寒星Coldstar_QAQ,舰长
86,384739919,小奕ヤ,舰长
87,536365,鸢尾百合,舰长
88,107200480,星空下的永恒誓言,舰长
89,288769051,不存在于诞下我的世界,舰长
90,1760794230,弥弥御用钢矛护理师,舰长
91,8931117,三色青羽,舰长
92,26284784,晨曦在海上,舰长
93,503,流河,舰长
94,11554146,伴舞者纠结,舰长
95,375800639,灯光汪,舰长
96,3546570272278940,悲伤的风子,舰长
97,1565147,orion_0v0,舰长
98,3311160,Ferula--,舰长
99,10261329,yukino-雪之下雪乃,舰长
100,6771127,英桑ww,舰长
101,13071607,风见见见子,舰长
102,31285711,最后的贺卡,舰长
103,105402,清新正直HHP,舰长
104,165723722,风烟寥,舰长
105,7257467,PlutoniumLink,舰长
106,9161100,鸟是一个词,舰长
107,271439182,科學用腦ロク,舰长
108,9426479,欧洲白鼠のケルベロス,舰长
109,168221583,嗜睡黑猫9,舰长
110,3546761429781280,Saner___,舰长
111,91214489,幻梦景,舰长
112,24816063,縶給闦蘉鸀鱍鞝繝礃,舰长
113,6595716,九重阳炎,舰长
114,85213240,阴暗小电视,舰长
115,513587729,Rainあめ,舰长
116,3546602375482057,颜枫_,舰长
117,191789,アマイアヤ,舰长
118,3211235,触发内联建议,舰长
119,323723237,傲娇直裘の山治君,舰长
120,2450646,弥月的新国标电鸡,舰长
121,20013396,zaoyasumi,舰长
122,502408537,言念其宸,舰长
123,453869448,迷离丶幻梦,舰长
124,3493122011039858,真不用管我,舰长
125,97727970,DD从小就单推,舰长
126,496455466,働かないbrain,舰长
127,6701862,末日警探Luv_sic,舰长
128,88984,重音teto,舰长
129,11045205,优空Irias,舰长
130,3546973235841820,半页诗集半面镜,舰长
131,212285,CTofthereign,舰长
132,85918367,銘刻時間の歌,舰长
133,65439365,米汀家的弥人小礼猫,舰长
134,3512397,Yamato丶Yamada,舰长
135,635930299,月伶枫晓,舰长
136,11986246,琪露诺最棒了,舰长
137,1268819,龍茶茶,舰长
138,362739786,暖心可可天天踩使使酱,舰长
139,1396875389,まきなす,舰长
